"Sheet","Pos.","Athlete","18m-1","X.1","18m-2","X.2","Tot.","10","9","Sex","Year","over 50?","Style"
"2014_IQCM","1","RAVENSCROFT Adam",292,1,295,1,587,47,13,"M","2014","N","C"
"2014_IQCM","2","WHITE Chris",292,1,290,5,582,42,18,"M","2014","N","C"
"2014_IQCM","3","RICHARDS Chad",287,14,293,2,580,40,20,"M","2014","N","C"
"2014_IQCM","4","GLOVER Phil",292,3,288,11,580,39,20,"M","2014","N","C"
"2014_IQCM","5","BUSBY Duncan",291,4,288,11,579,39,21,"M","2014","N","C"
"2014_IQCM","6","KELLS Michael",288,8,291,3,579,39,21,"M","2014","N","C"
"2014_IQCM","7","BURN Jake",288,8,289,7,577,37,23,"M","2014","N","C"
"2014_IQCM","8","SCOTT Simon",286,19,291,3,577,37,23,"M","2014","N","C"
"2014_IQCM","9","CHAPE Fraser",286,17,290,5,576,38,20,"M","2014","N","C"
"2014_IQCM","10","GEENES Colin",289,7,287,15,576,36,24,"M","2014","N","C"
"2014_IQCM","11","HUTCHINS Thomas",290,5,286,20,576,36,24,"M","2014","N","C"
"2014_IQCM","12","JERAM Sam",286,19,289,7,575,35,25,"M","2014","N","C"
"2014_IQCM","13","BULL Jon",285,23,289,7,574,34,26,"M","2014","N","C"
"2014_IQCM","14","CONVERY Alan",290,5,284,33,574,34,26,"M","2014","N","C"
"2014_IQCM","15","HOWSE James",287,14,287,15,574,34,26,"M","2014","N","C"
"2014_IQCM","16","FROGGATT Simon",288,8,285,24,573,36,21,"M","2014","N","C"
"2014_IQCM","17","ARNOLD Matthew",288,8,285,26,573,33,27,"M","2014","N","C"
"2014_IQCM","18","DUNCAN Tom",287,14,286,20,573,33,27,"M","2014","N","C"
"2014_IQCM","19","WHITTINGHAM Alistair",284,29,288,10,572,33,26,"M","2014","N","C"
"2014_IQCM","20","ALEXANDER Mike",285,23,286,20,571,31,29,"M","2014","N","C"
"2014_IQCM","21","HARRISON Mark",288,8,283,40,571,31,29,"M","2014","N","C"
"2014_IQCM","22","RUDD Mark",283,34,288,11,571,31,29,"M","2014","N","C"
"2014_IQCM","23","THOMAS Geraint",283,34,288,11,571,31,29,"M","2014","N","C"
"2014_IQCM","24","HOWELL James",284,29,286,18,570,32,26,"M","2014","N","C"
"2014_IQCM","25","MASON James",285,23,285,26,570,30,30,"M","2014","N","C"
"2014_IQCM","26","MILLER Lee",286,19,284,33,570,30,30,"M","2014","N","C"
"2014_IQCM","27","WOODROFFE David",284,28,285,26,569,31,27,"M","2014","N","C"
"2014_IQCM","28","TUCKNOTT Philip",282,40,287,15,569,29,31,"M","2014","N","C"
"2014_IQCM","29","HAMILTON Dean",285,23,283,39,568,29,30,"M","2014","N","C"
"2014_IQCM","30","JONES Ben",283,34,285,25,568,29,30,"M","2014","N","C"
"2014_IQCM","31","PRICE Chris",288,8,280,53,568,29,30,"M","2014","N","C"
"2014_IQCM","32","STUBBS John",283,34,285,26,568,28,32,"M","2014","N","C"
"2014_IQCM","33","CARPENTER Adam",286,19,281,50,567,27,33,"M","2014","N","C"
"2014_IQCM","33","NASH Tim",284,29,283,40,567,27,33,"M","2014","N","C"
"2014_IQCM","33","NOTT Jon",282,40,285,26,567,27,33,"M","2014","N","C"
"2014_IQCM","36","FOLEY John",281,44,285,26,566,26,34,"M","2014","N","C"
"2014_IQCM","37","MAGUIRE Frank",283,34,282,43,565,27,31,"M","2014","N","C"
"2014_IQCM","37","PARVESS Mike",286,18,279,59,565,27,31,"M","2014","N","C"
"2014_IQCM","39","SPEIGHT Mark",280,45,283,38,563,26,32,"M","2014","N","C"
"2014_IQCM","40","SERNA Jonas",284,29,279,57,563,25,33,"M","2014","N","C"
"2014_IQCM","41","POTTER Scott",278,59,285,26,563,24,35,"M","2014","N","C"
"2014_IQCM","42","FRASER Alex",279,56,284,37,563,0,0,"M","2014","N","C"
"2014_IQCM","43","EVANS Rhys",278,57,284,33,562,25,32,"M","2014","N","C"
"2014_IQCM","43","TROY Rowan",281,42,281,47,562,25,32,"M","2014","N","C"
"2014_IQCM","45","HAYNES Stephen",285,23,277,69,562,23,36,"M","2014","N","C"
"2014_IQCM","46","GARNER Mark",279,52,283,40,562,22,38,"M","2014","N","C"
"2014_IQCM","47","COLE Jamie",280,45,281,50,561,22,37,"M","2014","N","C"
"2014_IQCM","48","LLOYD Grant",274,83,286,19,560,23,35,"M","2014","N","C"
"2014_IQCM","49","MARTEL David",278,59,282,44,560,22,36,"M","2014","N","C"
"2014_IQCM","50","BALDWIN Sam",279,55,281,47,560,21,33,"M","2014","N","C"
"2014_IQCM","51","HUMPHRYS Ben",279,52,281,50,560,20,40,"M","2014","N","C"
"2014_IQCM","52","VODDEN Neil",273,85,286,20,559,25,33,"M","2014","N","C"
"2014_IQCM","53","HORAN Chris",279,49,280,55,559,22,36,"M","2014","N","C"
"2014_IQCM","54","NEWTON Stephen",279,50,279,61,558,21,36,"M","2014","N","C"
"2014_IQCM","55","KILLINGBECK Graham",282,39,276,76,558,19,40,"M","2014","N","C"
"2014_IQCM","56","DRANSFIELD Robert",279,52,278,62,557,20,37,"M","2014","N","C"
"2014_IQCM","57","HALDANE Mark",277,67,280,53,557,19,39,"M","2014","N","C"
"2014_IQCM","58","HOLMES Alex",279,51,278,66,557,18,41,"M","2014","N","C"
"2014_IQCM","58","PARKIN Nigel",273,87,284,33,557,18,41,"M","2014","N","C"
"2014_IQCM","60","PASSINGHAM James",275,79,281,46,556,21,35,"M","2014","N","C"
"2014_IQCM","61","PLATER Chris",277,67,279,57,556,19,38,"M","2014","N","C"
"2014_IQCM","62","TAYLOR Alexander",278,61,278,64,556,17,42,"M","2014","N","C"
"2014_IQCM","63","CREASEY Martin",278,61,278,66,556,16,44,"M","2014","N","C"
"2014_IQCM","64","CASSIDY Kevin",274,81,281,45,555,22,32,"M","2014","N","C"
